,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Height,Weight,foot,Growth,Value,Wage,Release Clause
6850,F. Scaglia,28,68,Italy,AC Monza,70,CB,CB,70,75,194lbs,Right,2,900000.0,2000.0,1500000.0
6851,E. Gyasi,26,67,Ghana,Spezia,68,RM,RW ST,68,71,154lbs,Right,1,900000.0,500.0,2000000.0
6852,A. Barreca,25,72,Italy,AS Monaco,73,LWB,LB LM,76,72,154lbs,Left,4,3500000.0,27000.0,6900000.0
6853,M. Zaccagni,25,75,Italy,Hellas Verona,78,CAM,CF ST,80,70,139lbs,Right,5,9000000.0,26000.0,16900000.0
6854,L. Venuti,25,70,Italy,Fiorentina,70,RB,RB LB,75,69,146lbs,Right,5,2100000.0,22000.0,3700000.0
6855,F. Ricci,26,72,Italy,Sassuolo,72,RW,RW LW,72,69,150lbs,Left,0,3300000.0,24000.0,5600000.0
6856,M. Bălașa,25,69,Romania,Universitatea Craiova,71,CB,CB,73,73,172lbs,Right,4,1200000.0,5000.0,1700000.0
6857,Y. Mina,25,78,Colombia,Everton,80,CB,CB,80,77,207lbs,Right,2,11500000.0,66000.0,22700000.0
6858,G. Tutino,23,72,Italy,Napoli,75,CAM,ST LW,78,70,168lbs,Right,6,4300000.0,36000.0,8199999.999999999
6859,L. Palmiero,24,68,Italy,Chievo Verona,70,CAM,CM CDM,73,70,163lbs,Right,5,1200000.0,2000.0,2000000.0
6860,I. Łasicki,25,63,Poland,Pogoń Szczecin,65,CB,CB,67,72,154lbs,Right,4,425000.0,2000.0,606000.0
6861,N. Contini,24,64,Ukraine,Napoli,64,GK,GK,72,75,181lbs,Right,8,500000.0,7000.0,950000.0
6862,S. Luperto,23,71,Italy,Napoli,73,CB,CB,79,75,165lbs,Left,8,3200000.0,26000.0,6100000.0
6863,D. Bejarano,26,63,Bolivia,Bolivia,63,RM,RM CM,63,72,163lbs,Left,0,0.0,0.0,0.0
6864,R. Quiñonez,28,64,Bolivia,Oriente Petrolero,64,GK,GK,66,72,176lbs,Right,2,400000.0,500.0,890000.0
6865,R. Ramallo,29,64,Bolivia,Always Ready,64,ST,ST,64,70,154lbs,Right,0,450000.0,500.0,968000.0
6866,E. Babayan,23,69,Armenia,Hobro IK,70,RM,LM ST,74,71,161lbs,Right,5,1400000.0,5000.0,1900000.0
6867,J. Bednarek,24,77,Poland,Southampton,79,CB,CB,83,74,170lbs,Right,6,11000000.0,41000.0,23100000.0
6868,T. Dejewski,25,59,Poland,Lech Poznań,61,CB,CB,65,75,181lbs,Right,6,190000.0,2000.0,295000.0
6869,M. Jakóbowski,27,62,Poland,Warta Poznań,62,LM,LM,62,67,143lbs,Left,0,325000.0,1000.0,439000.0
6870,F. González,27,61,Colombia,Atlético Nacional,62,ST,ST,62,73,165lbs,Right,1,300000.0,1000.0,443000.0
6871,A. Lundqvist,26,66,Sweden,Houston Dynamo,66,LB,LB RB,67,69,143lbs,Left,1,650000.0,2000.0,991000.0
6872,Jaume,29,78,Spain,Valencia CF,78,GK,GK,79,73,161lbs,Right,1,8500000.0,28000.0,18500000.0
6873,J. Rodríguez,24,64,Colombia,Club Necaxa,69,RM,ST CAM LM,71,70,157lbs,Right,7,650000.0,3000.0,1200000.0
6874,V. Vada,24,72,Argentina,UD Almería,74,CM,CM CDM CAM,76,69,157lbs,Right,4,4000000.0,7000.0,6700000.0
6875,F. Hadergjonaj,25,71,Kosovo,Kasimpaşa SK,72,RWB,RB RWB LB,74,72,161lbs,Right,3,2600000.0,9000.0,5400000.0
6876,S. Benrahma,24,77,Algeria,Brentford,78,CAM,LW,80,68,148lbs,Right,3,11500000.0,43000.0,22700000.0
6877,L. Acosta,25,69,Argentina,Club Atlético Lanús,69,GK,GK,75,74,185lbs,Right,6,1100000.0,6000.0,1900000.0
6878,D. Gray,24,75,England,Leicester City,76,RM,LM,79,71,163lbs,Right,4,8500000.0,55000.0,16800000.0
6879,T. Conlon,24,62,England,Port Vale,64,CM,CM,66,68,137lbs,Left,4,400000.0,2000.0,730000.0
6880,Moi Delgado,26,67,Spain,CF Fuenlabrada,68,LWB,LB,70,68,146lbs,Left,3,825000.0,3000.0,0.0
6881,Luismi,28,70,Spain,Elche CF,70,CDM,CDM CM,71,71,161lbs,Right,1,1800000.0,11000.0,4099999.9999999995
6882,S. Vecchia,25,70,Sweden,IK Sirius,71,CAM,LW RW,73,72,176lbs,Right,3,2200000.0,3000.0,2900000.0
6883,Angeliño,23,80,Spain,RB Leipzig,81,CM,LB,85,69,152lbs,Left,5,17500000.0,46000.0,0.0
6884,J. Hardy,23,60,England,Walsall,62,RM,CAM,66,68,139lbs,Right,6,275000.0,3000.0,536000.0
6885,J. Horsfield,23,61,England,Scunthorpe United,63,CDM,RB,65,70,163lbs,Right,4,300000.0,3000.0,548000.0
6886,Ailton,25,74,Brazil,VfB Stuttgart,75,LWB,LB,79,71,146lbs,Left,5,6500000.0,19000.0,12200000.0
6887,J. Brownhill,24,72,England,Burnley,74,CM,CM CDM,78,71,152lbs,Right,6,4200000.0,30000.0,8800000.0
6888,M. Kallesøe,23,65,Denmark,Randers FC,66,ST,RM,72,76,176lbs,Right,7,750000.0,3000.0,1100000.0
6889,G. Wüthrich,25,67,Switzerland,SK Sturm Graz,69,CB,CB,70,76,194lbs,Right,3,850000.0,6000.0,1300000.0
6890,F. Okenabirhie,24,65,England,Doncaster Rovers,67,ST,ST,72,70,163lbs,Right,7,775000.0,3000.0,1500000.0
6891,A. Mastalli,23,65,Italy,Castellammare di Stabia,66,CM,CM,69,70,165lbs,Right,4,700000.0,850.0,1100000.0
6892,R. Tapia,24,73,Peru,RC Celta,74,CDM,CDM CM,78,73,172lbs,Right,5,4900000.0,14000.0,10700000.0
6893,J. Morrell,23,67,Wales,Bristol City,69,CM,CM,75,66,141lbs,Right,8,1100000.0,12000.0,2300000.0
6894,Léo Bonatini,26,71,Brazil,Wolverhampton Wanderers,73,ST,ST,74,72,170lbs,Right,3,3000000.0,45000.0,5900000.0
6895,João Afonso,25,66,Brazil,Gil Vicente FC,68,CB,CDM CM,69,71,179lbs,Right,3,725000.0,3000.0,1500000.0
6896,J. Maddison,23,81,England,Leicester City,83,CAM,CAM CM LW,85,69,161lbs,Right,4,23000000.0,82000.0,45400000.0
6897,M. Azira,32,65,Uganda,Chicago Fire,65,CDM,CDM CM,65,70,159lbs,Right,0,350000.0,2000.0,525000.0
6898,G. Silva,26,75,Uruguay,SD Huesca,75,LB,LB CB,78,73,163lbs,Left,3,7000000.0,20000.0,15900000.0
6899,B. Borrello,24,68,Australia,Fortuna Düsseldorf,69,RM,RM LM,71,70,176lbs,Right,3,1100000.0,9000.0,0.0
6900,H. Wilson,23,77,Wales,Liverpool,78,CAM,RM CM,83,68,154lbs,Left,6,12000000.0,66000.0,24600000.0
6901,R. Mahazi,28,64,Australia,Incheon United FC,64,CDM,CDM CM,64,72,165lbs,Right,0,400000.0,1000.0,500000.0
6902,P. Billing,24,75,Denmark,Bournemouth,80,CDM,CM,81,78,176lbs,Left,6,9000000.0,13000.0,18900000.0
6903,E. Ponce,23,74,Argentina,Spartak Moscow,76,ST,ST,80,71,179lbs,Right,6,8000000.0,41000.0,14400000.0
6904,Douglas Tanque,26,70,Brazil,FC Paços de Ferreira,72,ST,ST,72,74,185lbs,Left,2,2200000.0,6000.0,4800000.0
6905,J. Sornoza,26,70,Ecuador,LDU Quito,73,RM,CAM,73,67,146lbs,Right,3,2200000.0,500.0,4900000.0
6906,A. Živković,23,73,Serbia,PAOK,76,CAM,RM LM,77,67,150lbs,Left,4,5000000.0,500.0,11400000.0
6907,D. Ortiz,27,67,Paraguay,Godoy Cruz,69,CB,CB,69,74,190lbs,Left,2,800000.0,4000.0,1200000.0
6908,R. Thomas,25,75,New Zealand,PSV,77,CAM,CAM CM,77,69,141lbs,Right,2,8000000.0,16000.0,11800000.0
6909,L. Stojanović,26,64,Serbia,Chicago Fire,67,ST,CAM,65,73,183lbs,Right,1,525000.0,2000.0,827000.0
6910,J. Debayo,22,59,Nigeria,Cheltenham Town,60,LB,LB,67,72,150lbs,Left,8,200000.0,2000.0,390000.0
6911,M. Ridenton,24,62,New Zealand,New Zealand,63,CM,CDM CM,66,71,159lbs,Right,4,0.0,0.0,0.0
6912,M. Ilaimaharitra,24,74,Madagascar,Sporting de Charleroi,75,CDM,CDM CM,79,70,176lbs,Right,5,7000000.0,11000.0,11000000.0
6913,A. Čolak,26,72,Croatia,PAOK,72,ST,ST,72,74,179lbs,Right,0,3400000.0,500.0,7500000.0
6914,D. Sánchez,24,81,Colombia,Tottenham Hotspur,83,CB,CB,84,74,174lbs,Right,3,20000000.0,79000.0,39500000.0
6915,A. Castro,26,67,Colombia,Cruz Azul,67,LM,LM LW,68,67,154lbs,Left,1,900000.0,18000.0,1600000.0
6916,L. Hernández,24,82,France,FC Bayern München,85,CB,CB LB,87,72,168lbs,Left,5,26500000.0,70000.0,45700000.0
6917,J. Narváez,25,69,Colombia,Real Zaragoza,72,CAM,ST LM,74,71,174lbs,Right,5,1400000.0,6000.0,2300000.0
6918,M. Diaw,27,59,France,FC Lausanne-Sport,59,GK,GK,63,78,216lbs,Right,4,140000.0,2000.0,214000.0
6919,L. Vásquez,28,69,Colombia,Junior FC,69,CDM,CDM CM,69,73,176lbs,Right,0,925000.0,2000.0,1300000.0
6920,E. Torregrossa,28,71,Italy,Brescia,71,ST,ST,71,72,192lbs,Left,0,2400000.0,25000.0,4300000.0
6921,M. Malsa,24,70,France,Levante UD,74,CDM,CM CDM,76,70,152lbs,Right,6,2400000.0,11000.0,5500000.0
6922,Marco Asensio,24,82,Spain,Real Madrid,84,CAM,LW RW,86,72,168lbs,Left,4,29000000.0,160000.0,61600000.0
6923,D. Machado,26,68,Colombia,Toulouse Football Club,68,LB,LB LM,69,68,165lbs,Left,1,925000.0,3000.0,1700000.0
6924,E. Gutiérrez,25,74,Mexico,PSV,76,CAM,CM CDM,78,70,152lbs,Left,4,7000000.0,15000.0,10300000.0
6925,J. Hugill,28,70,England,Norwich City,70,ST,ST,70,72,187lbs,Right,0,1800000.0,8000.0,3400000.0
6926,G. Kiltie,23,64,Scotland,Kilmarnock,65,CAM,LM CAM,71,68,154lbs,Right,7,625000.0,2000.0,1200000.0
6927,F. Honorat,23,69,France,Stade Brestois 29,70,RW,RM,75,71,154lbs,Right,6,1400000.0,8000.0,3100000.0
6928,M. Cacutalua,25,66,Germany,FC Erzgebirge Aue,68,CB,CB,71,74,179lbs,Right,5,775000.0,3000.0,1300000.0
6929,V. Sulejmani,24,66,Kosovo,Hannover 96,68,ST,ST LM RM,71,73,185lbs,Right,5,875000.0,7000.0,1500000.0
6930,R. Borré,24,78,Colombia,River Plate,80,ST,ST,83,69,157lbs,Right,5,14000000.0,19000.0,20700000.0
6931,B. Tuiloma,25,66,New Zealand,Portland Timbers,68,CB,CB CDM RB,71,70,174lbs,Right,5,775000.0,2000.0,1200000.0
6932,C. Baker-Richardson,23,61,England,Accrington Stanley,62,ST,ST,68,74,161lbs,Right,7,350000.0,1000.0,0.0
6933,G. Thomas,23,63,Wales,Queens Park Rangers,66,RM,CAM RW,72,68,168lbs,Right,9,575000.0,2000.0,1200000.0
6934,A. Al Sulayhim,26,67,Saudi Arabia,Al Nassr,69,CAM,CM CDM,70,67,139lbs,Right,3,925000.0,12000.0,1600000.0
6935,David Raya,24,74,Spain,Brentford,74,GK,GK,79,72,165lbs,Right,5,5500000.0,23000.0,10900000.0
6936,J. Aholou,26,74,Ivory Coast,AS Monaco,75,CDM,CDM CM,78,74,176lbs,Left,4,6500000.0,35000.0,12800000.0
6937,A. Kawaya,20,64,Belgium,KV Mechelen,64,RM,RM LM,72,68,181lbs,Left,8,675000.0,4000.0,1100000.0
6938,F. Jagiełło,22,64,Poland,Genoa,67,CAM,CM CDM CAM,72,71,154lbs,Right,8,650000.0,3000.0,1300000.0
6939,G. Moncini,24,69,Italy,Benevento,71,ST,ST,75,72,165lbs,Right,6,1500000.0,8000.0,3000000.0
6940,A. Esiti,26,72,Nigeria,PAOK,75,CB,CDM CM,75,74,185lbs,Right,3,3500000.0,500.0,8000000.0
6941,H. Friðjónsson,27,67,Iceland,Aalesunds FK,68,ST,ST,68,77,187lbs,Left,1,900000.0,2000.0,1200000.0
6942,A. Schöpf  B,26,72,Austria,FC Schalke 04,75,RM,CM RM RWB,74,70,163lbs,Right,2,3700000.0,19000.0,6600000.0
6943,L. Kalinić,30,75,Croatia,Aston Villa,75,GK,GK,75,79,218lbs,Left,0,4500000.0,36000.0,8600000.0
6944,J. Correa,27,70,Argentina,Clube Sport Marítimo,70,LM,LM RM CAM,70,67,143lbs,Left,0,1900000.0,6000.0,4000000.0
6945,C. Brannagan,24,66,England,Oxford United,68,CAM,CM CDM,73,71,157lbs,Right,7,900000.0,3000.0,1800000.0
6946,K. Vassell,27,65,Northern Ireland,Rotherham United,66,ST,ST,66,72,172lbs,Right,1,625000.0,12000.0,1200000.0
6947,J. Wildsmith,24,65,England,Sheffield Wednesday,65,GK,GK,73,74,143lbs,Right,8,625000.0,3000.0,1300000.0
6948,S. Sydorchuk,29,75,Ukraine,Dynamo Kyiv,75,CDM,CDM CM,75,73,174lbs,Right,0,5500000.0,500.0,12100000.0
6949,M. Konradsen,24,63,Norway,FK Bodø/Glimt,66,CM,CM RB,70,69,159lbs,Right,7,500000.0,1000.0,725000.0
6950,A. Tahiri,25,66,Morocco,RKC Waalwijk,69,RM,CAM CM LW,68,70,134lbs,Right,2,775000.0,2000.0,1200000.0
6951,A. El Messaoudi,24,69,Morocco,FC Groningen,70,CM,CDM CM,74,72,183lbs,Right,5,1300000.0,4000.0,2000000.0
6952,N. Eliasson,24,72,Sweden,Bristol City,73,LM,RM LM CAM,77,70,159lbs,Left,5,4200000.0,26000.0,8300000.000000001
6953,N. Keïta,25,81,Guinea,Liverpool,83,CAM,CM,85,68,141lbs,Right,4,22500000.0,96000.0,43300000.0
6954,J. Brattberg,23,60,Sweden,Falkenbergs FF,60,GK,GK,65,79,220lbs,Right,5,210000.0,500.0,278000.0
6955,O. Okungbowa,26,62,Austria,VfB Lübeck,66,CB,CDM CB,65,74,168lbs,Left,3,350000.0,800.0,534000.0
6956,M. Diallo,25,58,Senegal,Grenoble Foot 38,60,ST,ST,61,70,159lbs,Right,3,160000.0,1000.0,292000.0
6957,B. Ndiaye,29,72,Senegal,Fatih Karagümrük S.K.,74,CDM,CM CDM,72,71,168lbs,Right,0,3000000.0,12000.0,0.0
6958,U. Saltnes,27,70,Norway,FK Bodø/Glimt,71,CM,CM CDM,71,74,172lbs,Right,1,2000000.0,4000.0,2700000.0
6959,Carlos Fernández,24,76,Spain,Sevilla FC,78,ST,ST CAM,83,73,159lbs,Left,7,11000000.0,24000.0,25300000.0
6960,N. Vukčević,28,75,Montenegro,Levante UD,76,CDM,CM CDM,75,72,168lbs,Left,0,6500000.0,23000.0,13700000.0
6961,N. Komlichenko,25,73,Russia,Russia,75,ST,ST,77,76,198lbs,Right,4,0.0,0.0,0.0
6962,A. Sørensen,24,69,Denmark,1. FC Nürnberg,71,CB,CB,75,75,194lbs,Right,6,1300000.0,5000.0,2300000.0
6963,Jaime,25,62,Spain,CE Sabadell FC,64,CB,CB RB,67,72,165lbs,Right,5,350000.0,2000.0,569000.0
6964,E. Gómez,26,74,Argentina,Argentinos Juniors,74,LB,LB,77,69,174lbs,Left,3,6000000.0,12000.0,9500000.0
6965,Pau López,25,83,Spain,Roma,83,GK,GK,88,74,170lbs,Left,5,25500000.0,500.0,55500000.0
6966,Dani Romera,24,67,Spain,SD Ponferradina,69,ST,ST,71,68,152lbs,Right,4,1000000.0,3000.0,1600000.0
6967,R. Vloet,25,65,Netherlands,Heracles Almelo,68,ST,CAM CM LM,68,74,165lbs,Right,3,675000.0,2000.0,1000000.0
6968,S. Driussi,21,76,Argentina,Zenit St. Petersburg,76,CAM,ST LW,83,70,181lbs,Right,7,11000000.0,50000.0,18700000.0
6969,Y. Cardinale,26,68,France,OGC Nice,68,GK,GK,70,71,185lbs,Right,2,775000.0,9000.0,1500000.0
6970,A. Bakayoko,24,62,Sierra Leone,Coventry City,64,ST,ST,68,76,187lbs,Left,6,425000.0,7000.0,871000.0
6971,Alain Oyarzun,25,68,Spain,CD Numancia,69,CAM,LM LW,69,72,161lbs,Left,1,1100000.0,5000.0,1800000.0
6972,H. Kyprianou,23,61,Cyprus,Southend United,63,CB,CB,67,72,152lbs,Left,6,300000.0,2000.0,585000.0
6973,C. Dummigan,24,62,Northern Ireland,Dundalk,62,RB,RB RM,68,71,154lbs,Right,6,375000.0,650.0,656000.0
6974,D. Kownacki,23,71,Poland,Fortuna Düsseldorf,73,ST,ST LM RM,78,73,165lbs,Right,7,3400000.0,17000.0,6100000.0
6975,M. Oršić,27,76,Croatia,Dinamo Zagreb,77,RW,LM LW ST,76,70,152lbs,Right,0,8000000.0,500.0,17600000.0
6976,F. Onyedinma,23,67,Nigeria,Wycombe Wanderers,68,RM,LW RW,73,73,176lbs,Right,6,1000000.0,5000.0,2100000.0
6977,T. Leibold,26,76,Germany,Hamburger SV,76,LB,LB LM,77,69,159lbs,Left,1,8000000.0,14000.0,13400000.0
6978,M. Barnes,22,60,England,Southampton,61,ST,ST LW,67,73,159lbs,Left,7,300000.0,7000.0,630000.0
6979,G. Conti,26,72,Argentina,Club Atlas,74,CB,CB,77,76,176lbs,Right,5,3700000.0,9000.0,0.0
6980,J. Quintero,23,69,Colombia,Deportivo Cali,68,CB,CB,77,72,174lbs,Right,8,1300000.0,2000.0,2100000.0
6981,S. Ling B,23,59,England,Leyton Orient,59,RB,RB RWB,67,69,141lbs,Right,8,200000.0,2000.0,390000.0
6982,J. Sánchez,27,65,Mexico,Atlético de San Luis,66,CM,CM CDM,66,67,121lbs,Right,1,600000.0,4000.0,1100000.0
6983,G. Poblete,27,72,Argentina,FC Metz,73,CDM,CDM CM,75,68,139lbs,Right,3,3400000.0,13000.0,7100000.0
6984,R. Al Ghamdi,26,62,Saudi Arabia,Al Raed,64,ST,ST,65,70,152lbs,Right,3,375000.0,4000.0,647000.0
6985,J. Riedewald,23,71,Netherlands,Crystal Palace,73,CB,CB LB,74,72,174lbs,Left,3,2700000.0,24000.0,5300000.0
6986,D. Trichard,25,61,France,Clermont Foot 63,62,LB,LB LM,66,69,154lbs,Left,5,300000.0,1000.0,548000.0
6987,L. Kelly,24,66,Republic of Ireland,Oxford United,69,CAM,CM CDM,69,64,163lbs,Right,3,800000.0,3000.0,0.0
6988,A. Kuhl,19,61,England,Reading,61,CDM,CDM CM,74,68,146lbs,Right,13,350000.0,3000.0,0.0
6989,D. Hyam,24,66,Scotland,Coventry City,68,CB,CB,73,74,154lbs,Right,7,825000.0,9000.0,1700000.0
6990,J. Stacey,24,73,England,Bournemouth,73,RWB,RWB RB,78,70,137lbs,Right,5,4700000.0,10000.0,9300000.0
6991,A. Nouri,20,75,Netherlands,Ajax,74,CAM,CAM LW,75,66,132lbs,Right,0,7500000.0,10000.0,10500000.0
6992,J. Gradit,27,71,France,Racing Club de Lens,73,CB,CB RB,74,71,165lbs,Right,3,2600000.0,22000.0,5400000.0
6993,M. Barrios,29,75,Colombia,FC Dallas,75,RM,RM RW ST,75,64,143lbs,Right,0,6500000.0,9000.0,9800000.0
6994,A. Roa,27,74,Colombia,Independiente,74,LM,LM CAM CM,74,69,152lbs,Right,0,6000000.0,17000.0,9000000.0
6995,J. Arango,29,72,Colombia,Deportivo Binacional,73,RW,CAM LM ST,72,73,179lbs,Right,0,3000000.0,500.0,6500000.0
6996,A. Pérez,25,70,Colombia,Querétaro,71,CB,CB LB,75,70,170lbs,Left,5,2100000.0,6000.0,3700000.0
6997,E. O'Connell,24,65,Republic of Ireland,Rochdale,67,CB,CB,71,75,176lbs,Right,6,675000.0,1000.0,1300000.0
6998,J. Onguéné,22,72,Cameroon,Cameroon,74,CB,CB,80,73,172lbs,Right,8,4200000.0,15000.0,7100000.0
6999,D. Maatsen,19,57,Netherlands,NAC Breda,57,CB,CB,65,73,168lbs,Right,8,90000.0,2000.0,0.0
7000,G. Guerrieri,24,62,Italy,Lazio,62,GK,GK,69,72,172lbs,Right,7,325000.0,5000.0,618000.0
7001,Pablo Maffeo B,22,74,Spain,SD Huesca,74,RB,RB RWB,81,68,154lbs,Right,7,7000000.0,16000.0,0.0
7002,M. Samuelsen,23,62,Norway,Hull City,66,CAM,ST RM CAM,70,74,159lbs,Right,8,450000.0,2000.0,878000.0
7003,J. Nuttall,23,61,England,Northampton Town,63,ST,ST,69,72,159lbs,Right,8,375000.0,2000.0,0.0
7004,T. Ambrose,23,68,France,FC Metz,70,ST,LW LM,76,70,168lbs,Right,8,1300000.0,7000.0,2900000.0
7005,M. Veljković,24,73,Serbia,SV Werder Bremen,75,CB,CB CDM,77,74,187lbs,Right,4,4700000.0,17000.0,8300000.000000001
7006,N. Thomas,24,64,England,Carlisle United,65,LM,RW LW,66,70,176lbs,Left,2,550000.0,3000.0,0.0
7007,J. Rossiter,23,66,England,Fleetwood Town,67,CDM,CDM CM,76,70,141lbs,Right,10,950000.0,3000.0,1900000.0
7008,C. Espinosa,36,66,Chile,Curicó Unido,66,CAM,CAM CM,66,68,154lbs,Left,0,220000.0,1000.0,297000.0
7009,D. van de Beek,23,83,Netherlands,Manchester United,85,CM,CM CAM,87,72,163lbs,Right,4,33000000.0,125000.0,65200000.0
7010,D. Milošević,25,72,Bosnia Herzegovina,Atiker Konyaspor,73,CAM,LM CAM CM,75,72,161lbs,Right,3,3900000.0,13000.0,8100000.0
7011,M. Al Buraik,27,73,Saudi Arabia,Al Hilal,73,RB,RB,73,68,134lbs,Right,0,3600000.0,27000.0,6100000.0
7012,A. Puljić,32,67,Croatia,Dinamo Bucureşti,67,CB,CB,67,74,174lbs,Right,0,500000.0,3000.0,675000.0
7013,Dani Molina,23,64,Spain,RC Celta,67,CAM,CDM CAM,73,72,161lbs,Left,9,650000.0,4000.0,1500000.0
7014,J. Araya,23,63,Chile,CD Palestino,64,CM,CM,70,69,148lbs,Right,7,500000.0,1000.0,775000.0
7015,Fabiano B,28,71,Brazil,Denizlispor,71,CB,CB RWB,71,74,176lbs,Right,0,2100000.0,15000.0,4200000.0
7016,S. Ingason,26,73,Iceland,PAOK,75,CB,CB,75,74,183lbs,Right,2,4300000.0,500.0,9800000.0
7017,U. Đurđević,26,69,Serbia,Real Sporting de Gijón,71,ST,ST,72,71,176lbs,Right,3,1300000.0,6000.0,2200000.0
7018,O. Govea,24,70,Mexico,SV Zulte-Waregem,72,CM,CM CDM CAM,75,69,163lbs,Right,5,2300000.0,7000.0,3600000.0
7019,Wu Lei,28,78,China PR,RCD Espanyol,78,ST,ST LM RM,78,69,146lbs,Right,0,10500000.0,13000.0,15800000.0
7020,Nano Mesa,25,69,Spain,Cádiz CF,71,ST,ST LM,74,70,170lbs,Right,5,1400000.0,14000.0,3200000.0
7021,R. Burke,23,69,England,Hull City,71,CB,CB,75,74,179lbs,Right,6,1300000.0,4000.0,2500000.0
7022,L. Villagra,29,65,Paraguay,Nacional Asunción,65,ST,ST,65,71,174lbs,Left,0,550000.0,500.0,1200000.0
7023,E. Hernández,33,65,Uruguay,Centro Atlético Fénix,65,GK,GK,65,72,190lbs,Right,0,300000.0,500.0,645000.0
7024,Lee Chang Min,25,70,Korea Republic,Jeju United FC,71,CM,CM,73,70,170lbs,Right,3,2200000.0,4000.0,2900000.0
7025,F. Arancibia,22,68,Chile,CD O'Higgins,70,LM,RW LW LM,77,67,137lbs,Left,9,1400000.0,3000.0,2200000.0
7026,D. Calvert-Lewin,23,79,England,Everton,81,ST,ST,84,74,157lbs,Right,5,17000000.0,80000.0,33600000.0
7027,D. O'Shaughnessy,25,63,Finland,HJK Helsinki,65,CB,CB,68,75,185lbs,Left,5,450000.0,500.0,1000000.0
7028,R. Hollingshead,29,70,United States,FC Dallas,70,LB,LB RB RM,70,73,181lbs,Right,0,1500000.0,5000.0,2300000.0
7029,J. Flores,22,67,Chile,CD Antofagasta,68,RM,LM CAM RM,75,66,143lbs,Right,8,1100000.0,2000.0,1700000.0
7030,N. Elvedi,23,78,Switzerland,Borussia Mönchengladbach,80,CB,CB,84,74,172lbs,Right,6,13000000.0,30000.0,24700000.0
7031,D. Gardner,30,61,England,Wigan Athletic,62,CAM,CM,61,73,176lbs,Right,0,230000.0,1000.0,403000.0
7032,E. Markkanen,27,65,Finland,Finland,65,ST,ST,65,78,214lbs,Left,0,0.0,0.0,0.0
7033,T. Väyrynen,27,61,Finland,HJK Helsinki,62,ST,ST,62,75,196lbs,Right,1,300000.0,500.0,668000.0
7034,R. Dekker,24,67,Netherlands,PEC Zwolle,68,CDM,CDM CB,71,68,143lbs,Right,4,900000.0,3000.0,1400000.0
7035,S. Nelson,24,62,England,Tranmere Rovers,64,CB,CB,67,73,165lbs,Right,5,375000.0,2000.0,684000.0
7036,N. Konstandopoulos,24,59,Australia,Adelaide United,62,RM,CM,62,71,172lbs,Right,3,190000.0,800.0,252000.0
7037,M. Maroši,26,67,Slovakia,Coventry City,67,GK,GK,71,75,176lbs,Right,4,725000.0,11000.0,1400000.0
7038,G. O'Neill,25,63,Republic of Ireland,Shamrock Rovers,64,CDM,CDM CM,68,71,168lbs,Right,5,450000.0,750.0,731000.0
7039,C. Telfer,19,62,Scotland,Dundee United,62,CAM,CAM CM CDM,76,69,163lbs,Right,14,575000.0,4000.0,0.0
7040,W. Nightingale,24,62,England,AFC Wimbledon,64,CB,CB,69,73,185lbs,Right,7,375000.0,1000.0,731000.0
7041,Raúl,30,76,Brazil,SC Braga,76,CB,CB,76,74,176lbs,Left,0,6000000.0,14000.0,12000000.0
7042,E. Mammana,21,77,Argentina,Zenit St. Petersburg,77,CDM,CB,88,72,154lbs,Right,11,13500000.0,40000.0,23000000.0
7043,S. Nilsen,28,69,Norway,IF Elfsborg,69,CDM,CDM CM,69,72,172lbs,Right,0,925000.0,3000.0,1200000.0
7044,V. Kjartansson,30,71,Iceland,Vålerenga Fotball,71,ST,ST,71,74,176lbs,Right,0,2300000.0,4000.0,2900000.0
7045,O. Mfulu,26,65,DR Congo,Elche CF,69,CDM,CM CDM RB,67,72,168lbs,Right,2,650000.0,5000.0,1500000.0
7046,B. Angulo,24,65,Colombia,América de Cali,65,RM,CAM LM,67,67,141lbs,Right,2,675000.0,1000.0,962000.0
7047,N. Leiva,23,69,Spain,Real Oviedo,70,CAM,LM,75,69,168lbs,Right,6,1400000.0,5000.0,0.0
7048,Sim Sang Min,27,66,Korea Republic,Sangju Sangmu FC,67,LWB,LB,67,68,154lbs,Left,1,650000.0,1000.0,0.0
7049,J. Rinne,27,73,Sweden,Aalborg BK,73,GK,GK,76,74,190lbs,Left,3,3500000.0,10000.0,4600000.0
7050,J. Lolley,27,75,England,Nottingham Forest,75,RM,RM CAM LM,75,70,159lbs,Left,0,7000000.0,45000.0,13300000.0
7051,M. Clarke,23,71,England,Derby County,73,CB,CB,79,73,183lbs,Left,8,3200000.0,14000.0,0.0
7052,A. Jeremejeff,26,67,Sweden,FC Twente,69,ST,ST,69,76,181lbs,Right,2,925000.0,4000.0,0.0
7053,D. Dibusz,29,73,Hungary,Hungary,73,GK,GK,73,74,179lbs,Right,0,0.0,0.0,0.0
7054,Juan Delgado,24,63,Spain,Levante UD,62,ST,ST,67,72,172lbs,Right,4,500000.0,5000.0,1100000.0
7055,L. Mousset,24,74,France,Sheffield United,76,ST,ST,78,72,176lbs,Right,4,7500000.0,29000.0,14800000.0
7056,V. Cabrera,27,69,Argentina,Houston Dynamo,70,CB,CB,70,72,170lbs,Right,1,1100000.0,4000.0,1700000.0
